ZCTA5CE20,buildingCostSum,avgConstructionYear,mainOccupancyType,claimCount
32439,28019997.0,1984.3846153846155,1.0,104
32440,258419.0,2009.0,1.0,2
32442,381402.0,1994.6666666666667,1.0,3
32446,1404735.0,1987.4444444444443,1.0,9
32448,3936107.0,1981.0,1.0,17
32449,202000.0,1972.0,1.0,2
32455,1932858.0,1978.92,1.0,25
32456,266084547.0,1987.336917562724,1.0,837
32459,1676112475.0,1986.5041782729804,1.0,359
32461,1716405967.0,1985.2084942084941,1.0,259
32462,16789107.0,1982.6694214876034,1.0,121
32464,888853.0,1981.9411764705883,1.0,17
32465,4794185.0,1973.4558823529412,1.0,68
32466,520282.0,1988.0,1.0,2
32504,1300208986.0,1982.2880952380951,1.0,420
32506,123058936.0,1980.84375,1.0,704
32507,2013239628.0,1987.5729847494554,1.0,1377
32512,637671018.0,1975.6322241681262,1.0,1713
32526,111319165.0,1986.9259259259259,1.0,405
32531,664374.0,1985.0,1.0,3
32533,19391406.0,1984.9516129032259,1.0,62
32536,4345389.0,1987.3333333333333,1.0,24
32539,1875446443.0,1988.5813953488373,1.0,43
32541,1758748935.0,1982.8904914529915,1.0,1872
32547,2714896.0,1984.6363636363637,1.0,22
32548,945436611.0,1979.9962335216574,1.0,1593
32563,149303369.0,1984.5408560311284,1.0,514
32564,304551.0,1987.4285714285713,1.0,7
32565,1429914.0,1996.3333333333333,1.0,6
32566,774591631.0,1990.0796714579055,1.0,2435
32567,250000.0,1989.0,1.0,2
32568,210260.0,1989.6666666666667,1.0,3
32570,18763871.0,1984.3809523809523,1.0,63
32571,82550405.0,1990.271954674221,1.0,353
32577,1155969.0,2000.0,1.0,6
32580,49308657.0,1983.7019867549668,1.0,151
32583,174474441.0,1980.2566371681417,1.0,565
32608,5467517.0,1973.611111111111,1.0,18
32609,10761980.0,1970.2173913043478,1.0,23
32615,3518395.0,1986.7857142857142,1.0,14
32618,521553.0,1985.0,1.0,2
32619,1975647894.0,1976.7291666666667,1.0,48
32622,469361.0,1994.75,1.0,4
32625,6991117.0,1973.054054054054,11.0,37
32626,2218242.0,1973.5,1.0,24
32628,2095916.0,1982.0555555555557,1.0,18
32631,1137333.0,1980.2857142857142,1.0,7
32640,533034.0,1971.75,1.0,4
32641,8489366.0,1979.2857142857142,1.0,7
32643,4255655.0,1972.6666666666667,1.0,27
32648,1285408.0,1970.142857142857,1.0,7
32653,183431236.0,1981.2027027027027,1.0,74
32656,415098.0,1988.5,1.0,2
32666,71900.0,1961.0,1.0,1
32667,783918.0,1977.6,1.0,5
32668,46000.0,1996.0,1.0,1
32669,45130.0,1978.0,1.0,2
32680,8945132.0,1977.138888888889,1.0,72
32683,45000.0,1982.0,1.0,1
32686,2967741.0,1984.076923076923,1.0,13
32693,3580628.0,1974.46875,1.0,32
32708,37845001.0,1980.904,11.0,125
32709,1671739.0,1979.1,1.0,10
32712,4003701.0,1978.8823529411766,1.0,17
32713,22602212.0,1990.471264367816,1.0,87
32720,16257582.0,1975.4905660377358,1.0,53
32724,16899512.0,1976.3921568627452,1.0,51
32732,67758999.0,1982.8805309734514,11.0,226
32736,3154574.0,1990.1,1.0,10
32738,36240364.0,1990.1908396946565,11.0,131
32744,761938.0,2000.8,11.0,5
32754,10635627.0,1987.2368421052631,11.0,38
32757,1062667.0,1987.6,1.0,5
32759,743030.0,1981.6,1.0,5
32764,48925063.0,1985.625,11.0,88
32765,24630578.0,1986.7974683544303,11.0,79
32767,906442.0,1981.8333333333333,1.0,6
32771,107527133.0,1979.7424242424242,1.0,132
32776,131728.0,1980.0,1.0,1
32778,1905439.0,1971.2666666666667,1.0,15
32779,68776839.0,1977.474074074074,11.0,135
32780,23559658.0,1982.8108108108108,1.0,37
32792,161274984.0,1975.0,11.0,144
32804,45117668.0,1965.508064516129,11.0,124
32816,57705210.0,1988.7924528301887,11.0,159
32818,4415179.0,1978.9444444444443,1.0,18
32820,6659282.0,1995.2083333333333,1.0,24
32822,120313790.0,1977.8426966292134,11.0,267
32827,3759818.0,1995.3333333333333,1.0,9
32829,6633122.0,1997.48,11.0,25
32830,385759.0,1993.5,1.0,2
