ZCTA5CE20,Dam,Outlet,Station,Streamgage
33043,0,0,2,2
33055,0,0,1,1
33060,0,0,3,4
33064,0,0,1,1
33067,0,0,1,1
33069,0,0,5,5
33073,0,0,7,7
33076,0,0,1,1
33109,0,0,1,1
33125,0,0,2,4
33126,0,0,0,2
33128,0,0,2,2
33129,0,0,1,2
33130,0,0,1,1
33131,0,0,2,2
33132,0,0,3,3
33133,0,0,3,3
33134,0,0,0,1
33136,0,0,3,3
33137,0,0,1,1
33138,0,0,5,7
33139,0,0,3,3
33140,0,0,1,1
33142,0,0,1,1
33143,0,0,5,6
33144,0,0,4,6
33147,0,0,3,3
33149,0,0,5,5
33155,0,0,2,2
33156,0,0,7,9
33157,0,0,2,2
33160,1,0,1,2
33161,0,0,0,2
33162,0,0,2,2
33165,0,0,3,3
33166,0,0,3,5
33169,0,0,1,1
33172,0,0,2,2
33173,0,0,3,6
33174,0,0,0,1
33175,0,0,2,2
33177,1,0,0,1
33178,0,0,6,15
33180,0,0,7,7
33181,0,0,1,1
33186,0,0,1,1
33187,1,0,19,27
33193,0,0,0,3
33194,1,0,11,23
33196,0,0,1,6
33301,0,0,1,1
33304,0,0,6,6
33305,0,0,0,1
33308,0,0,1,1
33309,0,0,9,10
33311,0,0,4,4
33312,0,0,10,11
33314,0,0,1,2
33315,0,0,1,1
33316,0,0,1,1
33317,1,0,3,5
33319,0,0,1,1
33321,0,0,1,1
33323,0,0,0,1
33324,0,0,2,2
33325,0,0,1,1
33326,0,0,3,3
33327,2,0,30,39
33328,0,0,2,2
33330,0,0,2,3
33331,0,0,1,2
33332,0,0,2,4
33401,0,0,5,5
33403,0,0,1,1
33404,0,0,1,1
33405,1,0,0,1
33406,0,0,6,6
33407,0,0,6,6
33408,0,0,3,4
33409,0,0,0,1
33410,0,0,1,1
33411,0,0,2,2
33412,0,0,3,3
33414,0,0,3,3
33415,0,0,1,1
33417,0,0,1,1
33418,0,0,2,3
33428,1,0,2,4
33430,0,0,20,26
33431,0,0,5,7
33433,0,0,5,6
33435,0,0,3,4
33436,0,0,1,1
33438,2,0,3,7
33440,3,0,8,20
33441,0,0,1,1
33442,1,0,1,4
33444,0,0,2,2
33446,0,0,1,2
33455,0,0,6,7
33458,1,0,78,83
33460,0,0,3,3
33461,0,0,11,11
33462,0,0,6,6
33463,0,0,0,1
33467,0,0,2,3
33469,0,0,38,42
33470,0,0,17,25
33471,10,1,10,15
33472,0,0,2,2
33473,0,0,1,1
33476,1,0,2,2
33477,0,0,4,5
33478,0,0,13,15
33480,0,0,3,4
33483,0,0,1,3
33484,0,0,0,1
33486,0,0,2,2
33487,0,0,2,2
33493,0,0,15,15
33496,0,0,2,2
33510,0,0,1,1
33511,0,0,8,9
33513,0,0,5,6
33514,0,0,3,3
33523,0,0,8,10
33525,0,0,6,7
33527,0,0,4,5
33534,0,1,32,33
33538,1,0,11,16
33540,0,0,8,9
33542,0,0,0,1
33543,0,0,1,2
33544,0,0,1,3
33545,0,0,1,1
33547,1,0,19,23
33548,0,0,23,24
33549,0,0,9,10
33556,0,0,47,48
33558,0,0,11,12
33563,0,0,2,2
33565,0,0,8,9
33567,1,0,6,6
33569,1,0,19,19
33570,0,1,23,24
33572,0,0,3,3
33573,0,0,1,1
33576,0,0,4,4
33578,0,1,21,24
33585,0,0,4,6
33592,2,0,40,44
33594,0,0,2,2
33596,0,0,3,3
33597,0,0,5,5
33598,0,0,9,10
33602,0,0,1,1
33603,0,0,1,1
33604,0,0,17,19
33605,0,0,13,13
33606,0,1,4,4
33607,0,0,3,3
33609,0,0,4,4
33610,2,0,31,35
33611,0,0,7,7
33612,0,0,1,3
33613,0,0,5,6
33614,0,0,2,4
33615,0,0,4,4
33616,0,0,2,2
33617,0,0,5,5
33618,0,0,19,20
33619,1,0,36,46
33621,0,0,27,27
33624,0,0,5,6
33625,0,0,13,15
33626,0,0,3,7
33629,0,0,2,2
33634,0,0,2,3
33635,1,0,1,2
33637,1,0,10,13
33647,0,0,3,3
33701,0,0,29,29
33702,0,0,4,4
33703,0,0,1,1
33704,0,0,10,10
33705,0,0,12,12
33707,0,0,2,2
33709,0,0,5,5
33710,0,0,4,4
33711,0,0,1,1
33712,0,0,23,23
33713,0,0,1,1
33714,0,0,5,5
33715,0,0,58,58
33716,0,0,15,15
33755,0,0,1,1
33759,0,0,15,17
33760,0,0,1,2
33761,0,0,1,1
33762,0,0,12,14
33764,0,0,8,8
33765,0,0,3,3
33770,1,0,1,2
33771,0,0,2,2
33772,1,0,2,2
33773,0,0,10,10
33777,0,0,3,3
33778,0,0,1,1
33781,0,0,1,2
33782,0,0,0,2
33801,0,0,6,8
33803,0,0,12,12
33805,1,0,2,2
33809,0,0,2,3
33810,2,0,3,3
33811,0,0,1,1
33812,0,0,1,3
33813,0,0,3,3
33815,0,0,4,4
33823,0,0,9,9
33825,0,0,19,20
33827,0,0,14,15
33830,1,0,35,48
33834,3,0,10,11
33837,0,0,1,1
33839,0,0,1,1
33841,1,0,12,16
33843,0,0,24,24
33844,0,0,3,3
33849,0,0,1,1
33850,0,0,4,4
33851,0,0,2,2
33852,1,0,7,18
33853,0,0,1,1
33857,0,0,3,3
33859,0,0,6,6
33860,4,0,10,12
33865,0,0,9,10
33867,0,0,1,1
33868,0,0,2,2
33870,1,0,16,16
33872,0,0,10,10
33873,1,0,12,15
33875,0,0,3,3
33876,0,0,5,5
33880,1,0,21,22
33881,4,0,18,20
33884,0,0,6,6
33890,0,0,3,8
33896,0,0,1,1
33897,0,0,2,2
33898,1,0,14,14
33901,0,0,9,10
33903,0,0,4,7
33904,0,0,7,8
33905,0,0,10,12
33907,0,0,2,4
33908,0,1,10,14
33909,0,0,1,2
33912,0,0,4,8
33914,0,1,3,7
33916,0,0,13,13
33917,0,0,9,14
33919,0,0,1,4
33920,1,0,20,21
33921,0,0,1,1
33922,0,0,6,7
33928,0,0,5,6
33930,0,0,1,1
33931,0,0,3,4
33935,0,0,27,32
33936,0,0,5,5
33946,0,0,1,1
33948,0,0,1,1
33950,0,0,10,10
33952,0,0,4,4
33953,0,0,1,1
33955,0,0,2,3
33956,0,0,9,9
33957,0,0,61,62
33960,1,0,1,2
33967,0,0,1,1
33980,0,0,5,5
33981,0,0,6,6
33982,1,0,28,30
33983,0,0,4,4
33990,0,0,0,2
33991,0,0,0,1
33993,0,0,20,30
34101,0,0,0,2
34102,0,0,2,3
34104,0,0,1,2
34105,0,0,1,1
34109,0,0,1,2
34110,0,0,0,4
34112,0,0,2,2
34114,0,1,2,21
34116,0,0,1,1
34117,0,0,2,7
34120,0,0,1,3
34134,0,0,2,4
34135,0,0,4,6
34137,0,0,6,14
34138,0,0,1,1
34139,0,0,1,2
34141,0,0,16,61
34142,0,0,21,73
34201,0,0,1,2
34202,0,0,6,10
34203,1,0,8,9
34205,0,0,3,3
34208,0,0,2,2
34209,0,1,7,7
34211,0,0,0,3
34212,0,0,1,1
34216,0,0,3,3
34217,0,0,1,2
34219,2,0,8,12
34221,0,0,37,40
34223,0,0,1,3
34224,0,0,1,1
34231,0,0,3,5
34232,0,0,2,2
34233,0,0,1,1
34234,0,0,1,1
34235,0,0,4,4
34238,0,0,0,2
34239,0,0,3,4
34240,0,0,4,5
34241,0,0,15,17
34243,0,0,2,2
34251,0,0,19,24
34266,0,0,27,32
34269,0,0,22,23
34275,0,1,7,8
34285,0,0,2,2
34286,0,0,0,3
34287,0,0,10,11
34289,0,0,0,1
34291,0,0,3,5
34292,0,0,8,10
34293,0,0,9,9
34428,0,0,8,9
34429,0,0,23,26
34431,0,0,1,2
34432,0,0,8,9
34436,1,0,4,7
34442,0,0,2,4
34448,0,0,45,51
34449,0,1,5,12
34450,0,0,3,3
34453,1,0,1,3
34470,0,0,14,15
34472,1,0,0,0
34488,0,0,4,5
34498,0,0,0,2
34601,0,0,6,8
34602,0,0,6,8
34606,0,0,4,4
34607,0,0,20,25
34608,0,0,2,2
34610,0,0,7,8
34614,0,0,8,8
34637,0,0,1,1
34638,0,0,4,5
34639,0,0,10,10
34652,0,0,2,2
34653,0,0,4,4
34654,0,0,5,6
34655,0,0,10,10
34667,0,0,7,8
34668,0,1,3,3
34677,0,0,5,9
34679,0,0,4,4
34683,0,0,10,11
34684,0,0,3,3
34685,0,0,6,7
34688,0,0,8,8
34689,0,0,15,17
34690,0,0,1,1
